line_id,train_id,station_id,timestamp,dt
2,22,20,1598939422,2020-09-01 05:50:22
2,22,21,1598939564,2020-09-01 05:52:44
2,22,22,1598939742,2020-09-01 05:55:42
2,22,23,1598939916,2020-09-01 05:58:36
2,22,24,1598940045,2020-09-01 06:00:45
2,22,25,1598940204,2020-09-01 06:03:24
2,22,26,1598940325,2020-09-01 06:05:25
2,22,27,1598940467,2020-09-01 06:07:47
2,22,28,1598940620,2020-09-01 06:10:20
2,22,29,1598940742,2020-09-01 06:12:22
2,22,30,1598940887,2020-09-01 06:14:47
2,22,31,1598941020,2020-09-01 06:17:00
2,22,32,1598941141,2020-09-01 06:19:01
2,22,33,1598941317,2020-09-01 06:21:57
2,22,34,1598941448,2020-09-01 06:24:08
2,22,35,1598941570,2020-09-01 06:26:10
2,22,36,1598941710,2020-09-01 06:28:30
2,22,37,1598941890,2020-09-01 06:31:30
2,22,38,1598942013,2020-09-01 06:33:33
2,22,39,1598942180,2020-09-01 06:36:20
2,22,196,1598942317,2020-09-01 06:38:37
2,22,197,1598942481,2020-09-01 06:41:21
2,22,199,1598942626,2020-09-01 06:43:46
2,22,303,1598942755,2020-09-01 06:45:55
2,22,45,1598942916,2020-09-01 06:48:36
2,22,44,1598943090,2020-09-01 06:51:30
2,22,43,1598943236,2020-09-01 06:53:56
2,22,42,1598943380,2020-09-01 06:56:20
2,22,41,1598943557,2020-09-01 06:59:17
2,22,40,1598943684,2020-09-01 07:01:24
2,22,39,1598943857,2020-09-01 07:04:17
2,22,38,1598944030,2020-09-01 07:07:10
2,22,37,1598944151,2020-09-01 07:09:11
2,22,36,1598944324,2020-09-01 07:12:04
2,22,35,1598944487,2020-09-01 07:14:47
2,22,34,1598944650,2020-09-01 07:17:30
2,22,33,1598944778,2020-09-01 07:19:38
2,22,32,1598944930,2020-09-01 07:22:10
2,22,31,1598945061,2020-09-01 07:24:21
2,22,30,1598945181,2020-09-01 07:26:21
2,22,29,1598945355,2020-09-01 07:29:15
2,22,28,1598945514,2020-09-01 07:31:54
2,22,27,1598945666,2020-09-01 07:34:26
2,22,26,1598945837,2020-09-01 07:37:17
2,22,25,1598945962,2020-09-01 07:39:22
2,22,24,1598946098,2020-09-01 07:41:38
2,22,23,1598946225,2020-09-01 07:43:45
2,22,22,1598946347,2020-09-01 07:45:47
2,22,20,1598946485,2020-09-01 07:48:05
2,22,21,1598946615,2020-09-01 07:50:15
2,22,22,1598946786,2020-09-01 07:53:06
2,22,23,1598946907,2020-09-01 07:55:07
2,22,24,1598947043,2020-09-01 07:57:23
2,22,25,1598947175,2020-09-01 07:59:35
2,22,26,1598947314,2020-09-01 08:01:54
2,22,27,1598947444,2020-09-01 08:04:04
2,22,28,1598947614,2020-09-01 08:06:54
2,22,29,1598947790,2020-09-01 08:09:50
2,22,30,1598947970,2020-09-01 08:12:50
2,22,31,1598948109,2020-09-01 08:15:09
2,22,32,1598948277,2020-09-01 08:17:57
2,22,33,1598948410,2020-09-01 08:20:10
2,22,34,1598948549,2020-09-01 08:22:29
2,22,35,1598948717,2020-09-01 08:25:17
2,22,36,1598948854,2020-09-01 08:27:34
2,22,37,1598949011,2020-09-01 08:30:11
2,22,38,1598949190,2020-09-01 08:33:10
2,22,39,1598949316,2020-09-01 08:35:16
2,22,196,1598949457,2020-09-01 08:37:37
2,22,197,1598949603,2020-09-01 08:40:03
2,22,199,1598949739,2020-09-01 08:42:19
2,22,303,1598949910,2020-09-01 08:45:10
2,22,45,1598950085,2020-09-01 08:48:05
2,22,44,1598950253,2020-09-01 08:50:53
2,22,43,1598950425,2020-09-01 08:53:45
2,22,42,1598950552,2020-09-01 08:55:52
2,22,41,1598950673,2020-09-01 08:57:53
2,22,40,1598950816,2020-09-01 09:00:16
2,22,39,1598950947,2020-09-01 09:02:27
2,22,38,1598951075,2020-09-01 09:04:35
2,22,37,1598951239,2020-09-01 09:07:19
2,22,36,1598951398,2020-09-01 09:09:58
2,22,35,1598951526,2020-09-01 09:12:06
2,22,34,1598951649,2020-09-01 09:14:09
2,22,33,1598951826,2020-09-01 09:17:06
2,22,32,1598951969,2020-09-01 09:19:29
2,22,31,1598952098,2020-09-01 09:21:38
2,22,30,1598952226,2020-09-01 09:23:46
2,22,29,1598952367,2020-09-01 09:26:07
2,22,28,1598952496,2020-09-01 09:28:16
2,22,27,1598952666,2020-09-01 09:31:06
2,22,26,1598952800,2020-09-01 09:33:20
2,22,25,1598952938,2020-09-01 09:35:38
2,22,24,1598953094,2020-09-01 09:38:14
2,22,23,1598953258,2020-09-01 09:40:58
2,22,22,1598953398,2020-09-01 09:43:18
2,22,20,1598953569,2020-09-01 09:46:09
2,22,21,1598953746,2020-09-01 09:49:06
2,22,22,1598953897,2020-09-01 09:51:37
2,22,23,1598954066,2020-09-01 09:54:26
2,22,24,1598954226,2020-09-01 09:57:06
2,22,25,1598954360,2020-09-01 09:59:20
2,22,26,1598954511,2020-09-01 10:01:51
2,22,27,1598954657,2020-09-01 10:04:17
2,22,28,1598954786,2020-09-01 10:06:26
2,22,29,1598954906,2020-09-01 10:08:26
2,22,30,1598955053,2020-09-01 10:10:53
2,22,31,1598955197,2020-09-01 10:13:17
2,22,32,1598955336,2020-09-01 10:15:36
2,22,33,1598955458,2020-09-01 10:17:38
2,22,34,1598955579,2020-09-01 10:19:39
2,22,35,1598955732,2020-09-01 10:22:12
2,22,36,1598955877,2020-09-01 10:24:37
2,22,37,1598956018,2020-09-01 10:26:58
2,22,38,1598956140,2020-09-01 10:29:00
2,22,39,1598956306,2020-09-01 10:31:46
2,22,196,1598956435,2020-09-01 10:33:55
2,22,197,1598956569,2020-09-01 10:36:09
2,22,199,1598956704,2020-09-01 10:38:24
2,22,303,1598956827,2020-09-01 10:40:27
2,22,45,1598956958,2020-09-01 10:42:38
2,22,44,1598957101,2020-09-01 10:45:01
2,22,43,1598957231,2020-09-01 10:47:11
2,22,42,1598957403,2020-09-01 10:50:03
2,22,41,1598957526,2020-09-01 10:52:06
2,22,40,1598957679,2020-09-01 10:54:39
2,22,39,1598957819,2020-09-01 10:56:59
2,22,38,1598957969,2020-09-01 10:59:29
2,22,37,1598958128,2020-09-01 11:02:08
2,22,36,1598958291,2020-09-01 11:04:51
2,22,35,1598958436,2020-09-01 11:07:16
2,22,34,1598958575,2020-09-01 11:09:35
