user_id,stst_id,stopst_id,start_ts,end_ts,start_dt,end_dt
38b7abed4e04021db2640a145d5b201f,104,105,1599323182,1599323362,2020-09-05 16:26:22,2020-09-05 16:29:22
38b7abed4e04021db2640a145d5b201f,92,103,1599140732,1599142712,2020-09-03 13:45:32,2020-09-03 14:18:32
38b7abed4e04021db2640a145d5b201f,106,105,1599890769,1599890949,2020-09-12 06:06:09,2020-09-12 06:09:09
38b7abed4e04021db2640a145d5b201f,92,90,1599372200,1599372560,2020-09-06 06:03:20,2020-09-06 06:09:20
38b7abed4e04021db2640a145d5b201f,87,100,1599288806,1599291146,2020-09-05 06:53:26,2020-09-05 07:32:26
38b7abed4e04021db2640a145d5b201f,88,86,1599643007,1599643367,2020-09-09 09:16:47,2020-09-09 09:22:47
38b7abed4e04021db2640a145d5b201f,106,104,1599766312,1599766672,2020-09-10 19:31:52,2020-09-10 19:37:52
38b7abed4e04021db2640a145d5b201f,100,106,1599414353,1599415433,2020-09-06 17:45:53,2020-09-06 18:03:53
38b7abed4e04021db2640a145d5b201f,100,90,1599404557,1599406357,2020-09-06 15:02:37,2020-09-06 15:32:37
38b7abed4e04021db2640a145d5b201f,100,92,1599897508,1599898948,2020-09-12 07:58:28,2020-09-12 08:22:28
38b7abed4e04021db2640a145d5b201f,98,97,1599307700,1599307880,2020-09-05 12:08:20,2020-09-05 12:11:20
38b7abed4e04021db2640a145d5b201f,87,106,1599676097,1599679517,2020-09-09 18:28:17,2020-09-09 19:25:17
38b7abed4e04021db2640a145d5b201f,101,99,1599209327,1599209687,2020-09-04 08:48:47,2020-09-04 08:54:47
38b7abed4e04021db2640a145d5b201f,92,104,1599256555,1599258715,2020-09-04 21:55:55,2020-09-04 22:31:55
38b7abed4e04021db2640a145d5b201f,94,96,1599595690,1599596050,2020-09-08 20:08:10,2020-09-08 20:14:10
38b7abed4e04021db2640a145d5b201f,99,97,1599911146,1599911506,2020-09-12 11:45:46,2020-09-12 11:51:46
38b7abed4e04021db2640a145d5b201f,108,96,1599785173,1599787333,2020-09-11 00:46:13,2020-09-11 01:22:13
38b7abed4e04021db2640a145d5b201f,94,107,1600017091,1600019431,2020-09-13 17:11:31,2020-09-13 17:50:31
38b7abed4e04021db2640a145d5b201f,87,103,1599532875,1599535755,2020-09-08 02:41:15,2020-09-08 03:29:15
38b7abed4e04021db2640a145d5b201f,91,96,1598960010,1598960910,2020-09-01 11:33:30,2020-09-01 11:48:30
38b7abed4e04021db2640a145d5b201f,90,107,1599134692,1599137752,2020-09-03 12:04:52,2020-09-03 12:55:52
38b7abed4e04021db2640a145d5b201f,93,109,1599286957,1599289837,2020-09-05 06:22:37,2020-09-05 07:10:37
38b7abed4e04021db2640a145d5b201f,92,97,1598997651,1598998551,2020-09-01 22:00:51,2020-09-01 22:15:51
38b7abed4e04021db2640a145d5b201f,95,92,1599224929,1599225469,2020-09-04 13:08:49,2020-09-04 13:17:49
38b7abed4e04021db2640a145d5b201f,107,104,1599571590,1599572130,2020-09-08 13:26:30,2020-09-08 13:35:30
38b7abed4e04021db2640a145d5b201f,101,95,1599903648,1599904728,2020-09-12 09:40:48,2020-09-12 09:58:48
38b7abed4e04021db2640a145d5b201f,86,91,1599908612,1599909512,2020-09-12 11:03:32,2020-09-12 11:18:32
38b7abed4e04021db2640a145d5b201f,89,89,1599203285,1599203285,2020-09-04 07:08:05,2020-09-04 07:08:05
9a64eba70e5a950ec1bbb7d7fb1d21a9,100,107,1599023326,1599024586,2020-09-02 05:08:46,2020-09-02 05:29:46
9a64eba70e5a950ec1bbb7d7fb1d21a9,90,104,1599664494,1599667014,2020-09-09 15:14:54,2020-09-09 15:56:54
9a64eba70e5a950ec1bbb7d7fb1d21a9,93,94,1599364283,1599364463,2020-09-06 03:51:23,2020-09-06 03:54:23
9a64eba70e5a950ec1bbb7d7fb1d21a9,108,102,1599351082,1599352162,2020-09-06 00:11:22,2020-09-06 00:29:22
9a64eba70e5a950ec1bbb7d7fb1d21a9,102,93,1599056354,1599057974,2020-09-02 14:19:14,2020-09-02 14:46:14
9a64eba70e5a950ec1bbb7d7fb1d21a9,104,99,1600043353,1600044253,2020-09-14 00:29:13,2020-09-14 00:44:13
